date,A_1,B_1,A_2,B_2
20180101,6000.0,16000.0,1.4059168561787956,0.6666611977740172
20180102,0.0,3000.0,-0.7156258920716699,-0.4326729694912649
20180105,3500.0,0.0,0.521940711074435,-0.6863654696294069
20180108,0.0,30000.0,-0.7156258920716699,1.8505595317520132
20180110,500.0,5000.0,-0.5388306630507979,-0.26354463606583683
20180115,2000.0,0.0,-0.00844497598818146,-0.6863654696294069
20180118,0.0,7000.0,-0.7156258920716699,-0.09441630264040883
20180128,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180129,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180130,1000.0,0.0,-0.3620354340299257,-0.6863654696294069
20180201,2000.0,16000.0,-0.00844497598818146,0.6666611977740172
20180209,5500.0,35000.0,1.2291216271579235,2.2733803653155835
20180214,0.0,5000.0,-0.7156258920716699,-0.26354463606583683
20180216,2500.0,0.0,0.16835025303269066,-0.6863654696294069
20180220,0.0,2000.0,-0.7156258920716699,-0.5172371362039788
20180226,3000.0,0.0,0.34514548205356277,-0.6863654696294069
20180228,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180301,6000.0,16000.0,1.4059168561787956,0.6666611977740172
20180305,1500.0,30000.0,-0.18524020500905358,1.8505595317520132
20180314,2000.0,9000.0,-0.00844497598818146,0.0747120307850192
20180319,11000.0,10000.0,3.173869146387517,0.1592761974977332
20180328,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180401,0.0,16000.0,-0.7156258920716699,0.6666611977740172
20180405,6000.0,0.0,1.4059168561787956,-0.6863654696294069
20180407,0.0,30000.0,-0.7156258920716699,1.8505595317520132
20180409,3700.0,4800.0,0.5926588026827838,-0.2804574694083796
20180415,0.0,2000.0,-0.7156258920716699,-0.5172371362039788
20180416,3400.0,0.0,0.4865816652702605,-0.6863654696294069
20180419,0.0,1000.0,-0.7156258920716699,-0.6018013029166929
20180420,1000.0,0.0,-0.3620354340299257,-0.6863654696294069
20180424,0.0,1000.0,-0.7156258920716699,-0.6018013029166929
20180427,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180428,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180501,2000.0,6000.0,-0.00844497598818146,-0.17898046935312284
20180502,7300.0,10000.0,1.865584451633063,0.1592761974977332
20180505,1000.0,30000.0,-0.3620354340299257,1.8505595317520132
20180509,0.0,4000.0,-0.7156258920716699,-0.34810880277855083
20180510,1000.0,7000.0,-0.3620354340299257,-0.09441630264040883
20180512,0.0,5000.0,-0.7156258920716699,-0.26354463606583683
20180518,1500.0,1500.0,-0.18524020500905358,-0.5595192195603359
20180525,0.0,20000.0,-0.7156258920716699,1.0049178646248733
20180528,1100.0,0.0,-0.3266763882257513,-0.6863654696294069
20180529,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180601,6000.0,16000.0,1.4059168561787956,0.6666611977740172
20180602,1200.0,3000.0,-0.29131734242157686,-0.4326729694912649
20180605,1600.0,30000.0,-0.14988115920487916,1.8505595317520132
20180608,1000.0,5000.0,-0.3620354340299257,-0.26354463606583683
20180615,1000.0,7000.0,-0.3620354340299257,-0.09441630264040883
20180620,700.0,700.0,-0.468112571442449,-0.627170552930507
20180628,5000.0,5000.0,1.0523263981370512,-0.26354463606583683
20180629,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180701,0.0,16000.0,-0.7156258920716699,0.6666611977740172
20180702,9400.0,0.0,2.6081244135207258,-0.6863654696294069
20180705,4000.0,0.0,0.698735940095307,-0.6863654696294069
20180707,0.0,33000.0,-0.7156258920716699,2.104252031890155
20180709,3000.0,3000.0,0.34514548205356277,-0.4326729694912649
20180710,0.0,10000.0,-0.7156258920716699,0.1592761974977332
20180717,2000.0,9000.0,-0.00844497598818146,0.0747120307850192
20180723,840.0,0.0,-0.4186099073166048,-0.6863654696294069
20180725,0.0,9000.0,-0.7156258920716699,0.0747120307850192
20180727,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180730,2760.0,0.0,0.26028377212354414,-0.6863654696294069
20180801,7800.0,36000.0,2.0423796806539354,2.3579445320282972
20180804,0.0,40000.0,-0.7156258920716699,2.6962011988791534
20180809,3000.0,0.0,0.34514548205356277,-0.6863654696294069
20180811,0.0,5000.0,-0.7156258920716699,-0.26354463606583683
20180816,3600.0,0.0,0.5572997568786093,-0.6863654696294069
20180818,0.0,7000.0,-0.7156258920716699,-0.09441630264040883
20180827,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180829,6000.0,0.0,1.4059168561787956,-0.6863654696294069
20180901,9000.0,64000.0,2.4666882303040283,4.72574119998429
20180903,3800.0,12000.0,0.6280178484869582,0.32840453092316124
20180910,3240.0,0.0,0.4300071919835814,-0.6863654696294069
20180914,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20180920,9000.0,9000.0,2.4666882303040283,0.0747120307850192
20180928,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20181001,14500.0,19000.0,4.411435749533622,0.9203536979121593
20181003,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20181006,1320.0,30000.0,-0.24888648745656755,1.8505595317520132
20181008,0.0,5000.0,-0.7156258920716699,-0.26354463606583683
20181015,1000.0,7000.0,-0.3620354340299257,-0.09441630264040883
20181024,500.0,0.0,-0.5388306630507979,-0.6863654696294069
20181028,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20181029,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20181101,6000.0,16000.0,1.4059168561787956,0.6666611977740172
20181102,3800.0,3000.0,0.6280178484869582,-0.4326729694912649
20181109,0.0,30000.0,-0.7156258920716699,1.8505595317520132
20181112,2040.0,0.0,0.0056986423334883084,-0.6863654696294069
20181116,700.0,0.0,-0.468112571442449,-0.6863654696294069
20181118,0.0,5000.0,-0.7156258920716699,-0.26354463606583683
20181120,500.0,1000.0,-0.5388306630507979,-0.6018013029166929
20181128,0.0,0.0,-0.7156258920716699,-0.6863654696294069
20181129,2160.0,0.0,0.048129497298497616,-0.6863654696294069
20181201,7800.0,20000.0,2.0423796806539354,1.0049178646248733
20181204,0.0,33000.0,-0.7156258920716699,2.104252031890155
20181207,2640.0,5000.0,0.21785291715853486,-0.26354463606583683
20181214,1300.0,3000.0,-0.25595829661740244,-0.4326729694912649
20181216,0.0,5000.0,-0.7156258920716699,-0.26354463606583683
20181220,3000.0,0.0,0.34514548205356277,-0.6863654696294069
